year,month,pr_mm_per_day
1995,1,1.6257807
1995,2,0.6297812
1995,3,0.35859874
1995,4,0.42466086
1995,5,0.96306694
1995,6,2.6583526
1995,7,11.109828
1995,8,11.7190275
1995,9,9.775638
1995,10,5.4748025
1995,11,4.538322
1995,12,4.595941
1996,1,1.648829
1996,2,3.0547729
1996,3,1.5141296
1996,4,0.7922338
1996,5,3.9062836
1996,6,9.820169
1996,7,9.479349
1996,8,9.737783
1996,9,7.4035187
1996,10,4.3376184
1996,11,2.6936991
1996,12,0.69347847
1997,1,0.36483982
1997,2,0.31895727
1997,3,0.28259125
1997,4,0.4765956
1997,5,0.683713
1997,6,4.055468
1997,7,8.52809
1997,8,4.9410706
1997,9,4.6216736
1997,10,4.2942204
1997,11,3.4070249
1997,12,1.6945722
1998,1,1.4989878
1998,2,0.52101225
1998,3,0.7648793
1998,4,0.85590774
1998,5,0.58336085
1998,6,2.5200162
1998,7,11.734323
1998,8,12.671861
1998,9,11.151938
1998,10,5.7308536
1998,11,4.7642765
1998,12,5.3344197
1999,1,1.7811185
1999,2,2.0585933
1999,3,1.0110879
1999,4,0.5773985
1999,5,1.4301661
1999,6,6.817099
1999,7,10.1926
1999,8,9.867512
1999,9,7.5223007
1999,10,7.292849
1999,11,6.8043294
1999,12,5.326005
2000,1,2.5125134
2000,2,0.9631584
2000,3,0.83960664
2000,4,1.2413539
2000,5,2.0997014
2000,6,7.1845813
2000,7,10.887286
2000,8,7.745589
2000,9,6.032842
2000,10,4.828758
2000,11,3.6345308
2000,12,3.0822763
2001,1,1.2399515
2001,2,0.53290397
2001,3,0.712125
2001,4,0.36953878
2001,5,1.9920468
2001,6,4.8772674
2001,7,8.496446
2001,8,7.7021384
2001,9,5.115355
2001,10,4.8639455
2001,11,3.6283638
2001,12,1.3568858
2002,1,0.39067596
2002,2,0.38988143
2002,3,0.4304659
2002,4,0.5720027
2002,5,1.1825666
2002,6,4.003198
2002,7,14.459468
2002,8,12.097757
2002,9,10.004737
2002,10,6.85282
2002,11,4.0365796
2002,12,1.1578872
2003,1,1.5413526
2003,2,0.7881384
2003,3,0.3499282
2003,4,1.4864813
2003,5,1.7071595
2003,6,6.56104
2003,7,8.0298605
2003,8,7.583283
2003,9,8.832995
2003,10,5.393098
2003,11,3.574318
2003,12,2.761766
2004,1,1.2496308
2004,2,0.20247059
2004,3,0.4355257
2004,4,0.9793074
2004,5,2.1350088
2004,6,8.574018
2004,7,9.87458
2004,8,8.872091
2004,9,8.043466
2004,10,6.6104865
2004,11,2.0924742
2004,12,1.5685207
2005,1,2.1836693
2005,2,0.5575306
2005,3,0.3583651
2005,4,0.92368484
2005,5,1.3570998
2005,6,6.607404
2005,7,8.977303
2005,8,7.5269933
2005,9,5.3952937
2005,10,2.0837033
2005,11,2.9545286
2005,12,1.093194
2006,1,0.73561543
2006,2,0.42536113
2006,3,0.9121634
2006,4,0.3156002
2006,5,1.0862284
2006,6,5.2071714
2006,7,12.58935
2006,8,10.2085705
2006,9,10.480416
2006,10,4.6452165
2006,11,6.193344
2006,12,1.4318328
2007,1,0.2438063
2007,2,0.7119732
2007,3,0.41671336
2007,4,0.9029756
2007,5,1.6534673
2007,6,6.541404
2007,7,12.401403
2007,8,10.026397
2007,9,8.583944
2007,10,7.4305744
2007,11,4.205537
2007,12,1.6973472
2008,1,2.0316682
2008,2,0.98822975
2008,3,0.65139425
2008,4,0.8599325
2008,5,1.8592838
2008,6,8.855611
2008,7,9.558461
2008,8,12.55877
2008,9,6.701747
2008,10,5.4159245
2008,11,3.6674922
2008,12,0.90027475
2009,1,0.39242312
2009,2,0.90134466
2009,3,0.34894335
2009,4,0.65469086
2009,5,1.8262839
2009,6,7.0074363
2009,7,9.360747
2009,8,10.656447
2009,9,8.655243
2009,10,2.2657237
2009,11,3.8972843
2009,12,2.9081368
2010,1,1.8670394
2010,2,0.37149355
2010,3,0.7246451
2010,4,0.5443172
2010,5,0.8947471
2010,6,8.140773
2010,7,10.813426
2010,8,10.457203
2010,9,10.069605
2010,10,5.920168
2010,11,2.5101507
2010,12,3.149742
2011,1,1.7892722
2011,2,0.5285034
2011,3,0.39944747
2011,4,0.48847932
2011,5,1.503929
2011,6,6.4363036
2011,7,11.270897
2011,8,11.545618
2011,9,10.080821
2011,10,6.525775
2011,11,1.3636044
2011,12,1.4584368
2012,1,1.477228
2012,2,0.78100723
2012,3,0.6174674
2012,4,1.1725504
2012,5,0.8395941
2012,6,6.522704
2012,7,12.542251
2012,8,9.455302
2012,9,7.5062237
2012,10,3.8552916
2012,11,5.1796923
2012,12,2.5347035
2013,1,0.41836014
2013,2,0.70322096
2013,3,0.25637317
2013,4,0.5857639
2013,5,0.8377312
2013,6,4.1936154
2013,7,12.8776455
2013,8,8.371871
2013,9,8.465525
2013,10,4.015464
2013,11,3.269282
2013,12,3.2821662
2014,1,1.7250117
2014,2,0.46290207
2014,3,0.3228399
2014,4,0.7469732
2014,5,1.4951448
2014,6,8.075182
2014,7,11.8078
2014,8,6.5697527
2014,9,5.6793466
2014,10,2.9464152
2014,11,2.9470139
2014,12,3.5442698
