year,month,total_mm
1995,1,50.3992
1995,2,17.633873
1995,3,11.116561
1995,4,12.739826
1995,5,29.855076
1995,6,79.75058
1995,7,344.40466
1995,8,363.28986
1995,9,293.26913
1995,10,169.71887
1995,11,136.14966
1995,12,142.47417
1996,1,51.113697
1996,2,85.53364
1996,3,46.93802
1996,4,23.767015
1996,5,121.094795
1996,6,294.60507
1996,7,293.85983
1996,8,301.87128
1996,9,222.10556
1996,10,134.46617
1996,11,80.810974
1996,12,21.497833
1997,1,11.310035
1997,2,8.930803
1997,3,8.760329
1997,4,14.297869
1997,5,21.195103
1997,6,121.66405
1997,7,264.3708
1997,8,153.17319
1997,9,138.6502
1997,10,133.12083
1997,11,102.21075
1997,12,52.53174
1998,1,46.46862
1998,2,14.588343
1998,3,23.711258
1998,4,25.677233
1998,5,18.084187
1998,6,75.60049
1998,7,363.764
1998,8,392.82767
1998,9,334.55817
1998,10,177.65646
1998,11,142.9283
1998,12,165.367
1999,1,55.214672
1999,2,57.64061
1999,3,31.343723
1999,4,17.321955
1999,5,44.33515
1999,6,204.51297
1999,7,315.9706
1999,8,305.89285
1999,9,225.66902
1999,10,226.07832
1999,11,204.12988
1999,12,165.10616
2000,1,77.88792
2000,2,26.968435
2000,3,26.027805
2000,4,37.240616
2000,5,65.090744
2000,6,215.53745
2000,7,337.50586
2000,8,240.11325
2000,9,180.98526
2000,10,149.6915
2000,11,109.03593
2000,12,95.55057
2001,1,38.438496
2001,2,14.92131
2001,3,22.075874
2001,4,11.0861635
2001,5,61.753452
2001,6,146.31802
2001,7,263.3898
2001,8,238.7663
2001,9,153.46065
2001,10,150.7823
2001,11,108.850914
2001,12,42.06346
2002,1,12.110955
2002,2,10.91668
2002,3,13.344443
2002,4,17.160082
2002,5,36.659565
2002,6,120.09594
2002,7,448.2435
2002,8,375.0305
2002,9,300.14212
2002,10,212.43742
2002,11,121.09738
2002,12,35.894505
2003,1,47.781933
2003,2,22.067875
2003,3,10.8477745
2003,4,44.59444
2003,5,52.921944
2003,6,196.83119
2003,7,248.92567
2003,8,235.08177
2003,9,264.98987
2003,10,167.18604
2003,11,107.22954
2003,12,85.614746
2004,1,38.738556
2004,2,5.6691766
2004,3,13.501296
2004,4,29.379223
2004,5,66.18527
2004,6,257.22052
2004,7,306.112
2004,8,275.03482
2004,9,241.30397
2004,10,204.92508
2004,11,62.774223
2004,12,48.62414
2005,1,67.69375
2005,2,15.610856
2005,3,11.109318
2005,4,27.710545
2005,5,42.07009
2005,6,198.22212
2005,7,278.2964
2005,8,233.33679
2005,9,161.85881
2005,10,64.5948
2005,11,88.63586
2005,12,33.889015
2006,1,22.80408
2006,2,11.910111
2006,3,28.277065
2006,4,9.468005
2006,5,33.67308
2006,6,156.21515
2006,7,390.26984
2006,8,316.4657
2006,9,314.41248
2006,10,144.00171
2006,11,185.80032
2006,12,44.386818
2007,1,7.5579953
2007,2,19.93525
2007,3,12.918114
2007,4,27.089268
2007,5,51.257484
2007,6,196.24211
2007,7,384.4435
2007,8,310.8183
2007,9,257.51834
2007,10,230.34781
2007,11,126.1661
2007,12,52.617764
2008,1,62.981712
2008,2,27.670433
2008,3,20.193222
2008,4,25.797974
2008,5,57.6378
2008,6,265.66833
2008,7,296.3123
2008,8,389.32187
2008,9,201.05241
2008,10,167.89366
2008,11,110.024765
2008,12,27.908518
2009,1,12.165117
2009,2,25.23765
2009,3,10.817244
2009,4,19.640726
2009,5,56.614803
2009,6,210.22308
2009,7,290.18317
2009,8,330.34988
2009,9,259.6573
2009,10,70.237434
2009,11,116.918526
2009,12,90.152245
2010,1,57.878223
2010,2,10.401819
2010,3,22.463997
2010,4,16.329515
2010,5,27.73716
2010,6,244.22319
2010,7,335.21622
2010,8,324.17328
2010,9,302.08813
2010,10,183.5252
2010,11,75.30452
2010,12,97.642
2011,1,55.467438
2011,2,14.798096
2011,3,12.382872
2011,4,14.65438
2011,5,46.6218
2011,6,193.08911
2011,7,349.3978
2011,8,357.91415
2011,9,302.42462
2011,10,202.29903
2011,11,40.908134
2011,12,45.211544
2012,1,45.79407
2012,2,21.868202
2012,3,19.141489
2012,4,35.176514
2012,5,26.027418
2012,6,195.68112
2012,7,388.80978
2012,8,293.11438
2012,9,225.1867
2012,10,119.51404
2012,11,155.39076
2012,12,78.575806
2013,1,12.969165
2013,2,19.690187
2013,3,7.947568
2013,4,17.572916
2013,5,25.969667
2013,6,125.808464
2013,7,399.207
2013,8,259.528
2013,9,253.96573
2013,10,124.479385
2013,11,98.07846
2013,12,101.747154
2014,1,53.475365
2014,2,12.961258
2014,3,10.008037
2014,4,22.409197
2014,5,46.34949
2014,6,242.25545
2014,7,366.0418
2014,8,203.66234
2014,9,170.3804
2014,10,91.33887
2014,11,88.410416
2014,12,109.87236
