year,month,pr_mm_per_day_wet
1995,1,1.6930002
1995,2,0.6405689
1995,3,0.3791629
1995,4,0.42642766
1995,5,0.9717506
1995,6,2.663342
1995,7,11.109828
1995,8,11.7190275
1995,9,9.775638
1995,10,5.4997797
1995,11,4.771188
1995,12,4.720627
1996,1,2.0836625
1996,2,3.2523568
1996,3,1.5457213
1996,4,0.82697284
1996,5,3.9869215
1996,6,9.82876
1996,7,9.479349
1996,8,9.7399435
1996,9,7.4035187
1996,10,4.39164
1996,11,2.96295
1996,12,0.75902325
1997,1,0.37909648
1997,2,0.33490655
1997,3,0.2931039
1997,4,0.48088998
1997,5,0.69252014
1997,6,4.088525
1997,7,8.529601
1997,8,4.9424314
1997,9,4.638697
1997,10,4.3950253
1997,11,3.4457173
1997,12,1.7519165
1998,1,1.5242629
1998,2,0.5389884
1998,3,0.7660332
1998,4,0.8575872
1998,5,0.5906115
1998,6,2.5466275
1998,7,11.743859
1998,8,12.671861
1998,9,11.151938
1998,10,5.8212147
1998,11,4.9435563
1998,12,5.758547
1999,1,2.0692697
1999,2,2.396899
1999,3,1.2099702
1999,4,0.6202787
1999,5,1.4621193
1999,6,6.831557
1999,7,10.192995
1999,8,9.867512
1999,9,7.523093
1999,10,7.3107157
1999,11,7.227419
1999,12,5.7804112
2000,1,2.722984
2000,2,0.97492456
2000,3,0.85051733
2000,4,1.282061
2000,5,2.126886
2000,6,7.1925755
2000,7,10.887286
2000,8,7.745589
2000,9,6.039127
2000,10,4.9381123
2000,11,3.7790618
2000,12,3.5276613
2001,1,1.413037
2001,2,0.5904862
2001,3,0.71712303
2001,4,0.37938547
2001,5,2.0615485
2001,6,4.89079
2001,7,8.497843
2001,8,7.7027807
2001,9,5.1186833
2001,10,4.9229608
2001,11,3.7168689
2001,12,1.3586532
2002,1,0.39467788
2002,2,0.39167842
2002,3,0.43967327
2002,4,0.5780201
2002,5,1.2002686
2002,6,4.0703974
2002,7,14.459468
2002,8,12.097757
2002,9,10.017166
2002,10,6.9515376
2002,11,4.1899595
2002,12,1.3410069
2003,1,1.741111
2003,2,0.9433926
2003,3,0.37412015
2003,4,1.5453184
2003,5,1.7513641
2003,6,6.562708
2003,7,8.0298605
2003,8,7.583283
2003,9,8.837473
2003,10,5.425699
2003,11,3.7603192
2003,12,3.0729907
2004,1,1.3985238
2004,2,0.24898604
2004,3,0.45069608
2004,4,1.011359
2004,5,2.1812747
2004,6,8.598339
2004,7,9.87458
2004,8,8.872091
2004,9,8.05446
2004,10,6.6436377
2004,11,2.1014998
2004,12,1.6347449
2005,1,2.330404
2005,2,0.5961343
2005,3,0.3839838
2005,4,0.9269674
2005,5,1.3609176
2005,6,6.6152525
2005,7,8.979214
2005,8,7.5296593
2005,9,5.4046483
2005,10,2.1003342
2005,11,3.0396714
2005,12,1.1214192
2006,1,0.7830431
2006,2,0.43403628
2006,3,0.9199981
2006,4,0.31599972
2006,5,1.0972421
2006,6,5.221719
2006,7,12.597145
2006,8,10.2085705
2006,9,10.481928
2006,10,4.666443
2006,11,6.3146663
2006,12,1.5230057
2007,1,0.2889912
2007,2,0.7650998
2007,3,0.4379673
2007,4,0.93057555
2007,5,1.7076184
2007,6,6.5604486
2007,7,12.401403
2007,8,10.026397
2007,9,8.583944
2007,10,7.444424
2007,11,4.4068995
2007,12,2.0424833
2008,1,2.1408513
2008,2,1.0959622
2008,3,0.6896051
2008,4,0.87655383
2008,5,1.8682293
2008,6,8.857829
2008,7,9.558461
2008,8,12.55877
2008,9,6.7056885
2008,10,5.460652
2008,11,3.771632
2008,12,0.9635657
2009,1,0.41023508
2009,2,0.9062564
2009,3,0.36447832
2009,4,0.6712864
2009,5,1.8497908
2009,6,7.015079
2009,7,9.362268
2009,8,10.656447
2009,9,8.656234
2009,10,2.2751336
2009,11,3.941432
2009,12,3.1301615
2010,1,1.9833161
2010,2,0.386707
2010,3,0.73116446
2010,4,0.55825067
2010,5,0.90116906
2010,6,8.166512
2010,7,10.821916
2010,8,10.457203
2010,9,10.069605
2010,10,6.004588
2010,11,2.5440733
2010,12,3.5207427
2011,1,1.857561
2011,2,0.5827721
2011,3,0.4103087
2011,4,0.5077921
2011,5,1.5172943
2011,6,6.440779
2011,7,11.270897
2011,8,11.545618
2011,9,10.088971
2011,10,6.540706
2011,11,1.4470013
2011,12,1.4871529
2012,1,1.6104692
2012,2,0.8234207
2012,3,0.66807246
2012,4,1.2104751
2012,5,0.85471207
2012,6,6.5281096
2012,7,12.542251
2012,8,9.455302
2012,9,7.511859
2012,10,3.955707
2012,11,5.310639
2012,12,2.7461786
2013,1,0.4392451
2013,2,0.7322288
2013,3,0.27373663
2013,4,0.5997192
2013,5,0.84230024
2013,6,4.212475
2013,7,12.8776455
2013,8,8.371871
2013,9,8.486148
2013,10,4.0736065
2013,11,3.3629377
2013,12,3.4419847
2014,1,1.8902473
2014,2,0.49097067
2014,3,0.3347951
2014,4,0.7825224
2014,5,1.5005965
2014,6,8.089888
2014,7,11.8078
2014,8,6.5697527
2014,9,5.6910577
2014,10,3.031072
2014,11,3.131888
2014,12,3.884584
