year,month,pr
1995,1,9.174753e-06
1995,2,2.0217492e-06
1995,3,6.4978276e-06
1995,4,4.150602e-06
1995,5,2.5867022e-05
1995,6,4.418802e-05
1995,7,9.6638716e-05
1995,8,8.2005376e-05
1995,9,8.405356e-05
1995,10,5.638395e-05
1995,11,2.4999275e-05
1995,12,1.5755671e-05
1996,1,4.4312233e-06
1996,2,3.65798e-06
1996,3,7.478155e-06
1996,4,9.384102e-06
1996,5,1.5514534e-05
1996,6,4.5066558e-05
1996,7,8.428419e-05
1996,8,9.1626585e-05
1996,9,7.211893e-05
1996,10,4.4921708e-05
1996,11,1.2279982e-05
1996,12,3.192036e-05
1997,1,1.0276057e-05
1997,2,1.417822e-05
1997,3,3.5149433e-06
1997,4,8.596846e-06
1997,5,2.0910496e-05
1997,6,7.2539566e-05
1997,7,7.3634226e-05
1997,8,8.8312416e-05
1997,9,7.4350355e-05
1997,10,5.6604313e-05
1997,11,3.7555415e-05
1997,12,7.849037e-06
1998,1,9.825735e-06
1998,2,5.1865945e-06
1998,3,6.494967e-06
1998,4,1.2710606e-05
1998,5,1.8280312e-05
1998,6,5.2850708e-05
1998,7,0.0001079351
1998,8,9.402122e-05
1998,9,5.8371472e-05
1998,10,4.4159893e-05
1998,11,4.3203854e-05
1998,12,2.3584169e-05
1999,1,9.9467325e-06
1999,2,3.3927415e-06
1999,3,4.704341e-06
1999,4,1.0736607e-05
1999,5,1.8507288e-05
1999,6,3.8505852e-05
1999,7,7.1651855e-05
1999,8,0.00010932458
1999,9,6.4181135e-05
1999,10,7.547609e-05
1999,11,4.5716624e-05
1999,12,1.8312243e-05
2000,1,3.9633696e-06
2000,2,4.0340487e-06
2000,3,1.8575629e-06
2000,4,6.3667185e-06
2000,5,2.4648265e-05
2000,6,4.5770346e-05
2000,7,0.00010022718
2000,8,0.000119168384
2000,9,7.364063e-05
2000,10,3.836988e-05
2000,11,4.0846673e-05
2000,12,2.3594152e-05
2001,1,7.842215e-06
2001,2,6.1432384e-06
2001,3,2.7684616e-06
2001,4,6.5881245e-06
2001,5,1.6569424e-05
2001,6,3.685247e-05
2001,7,9.958931e-05
2001,8,0.00011895818
2001,9,6.622679e-05
2001,10,3.7040987e-05
2001,11,3.5512232e-05
2001,12,2.740455e-05
2002,1,3.239178e-06
2002,2,3.3142521e-06
2002,3,2.2664744e-06
2002,4,4.386414e-06
2002,5,3.4010976e-05
2002,6,4.4635264e-05
2002,7,9.5192976e-05
2002,8,0.000110817986
2002,9,9.713485e-05
2002,10,3.6410143e-05
2002,11,4.5867695e-05
2002,12,1.551869e-05
2003,1,8.529326e-06
2003,2,4.3281234e-06
2003,3,5.74288e-06
2003,4,4.6142213e-06
2003,5,1.9897283e-05
2003,6,4.9016686e-05
2003,7,9.233226e-05
2003,8,8.7496155e-05
2003,9,9.247064e-05
2003,10,6.0102066e-05
2003,11,3.2193282e-05
2003,12,1.6577116e-05
2004,1,4.9783e-06
2004,2,3.66205e-06
2004,3,2.9866842e-06
2004,4,1.0363232e-05
2004,5,8.029757e-06
2004,6,5.5624845e-05
2004,7,7.9613324e-05
2004,8,9.1425114e-05
2004,9,6.219891e-05
2004,10,4.9127724e-05
2004,11,6.106755e-05
2004,12,1.9710533e-05
2005,1,3.6824226e-06
2005,2,1.5027407e-06
2005,3,9.011477e-06
2005,4,5.7641146e-06
2005,5,1.1549768e-05
2005,6,6.0404393e-05
2005,7,9.139963e-05
2005,8,0.00010008711
2005,9,6.4372354e-05
2005,10,4.2001793e-05
2005,11,4.6598172e-05
2005,12,1.5324535e-05
2006,1,6.775565e-06
2006,2,2.3611071e-06
2006,3,3.8837584e-06
2006,4,9.323886e-06
2006,5,3.0130484e-05
2006,6,4.8961392e-05
2006,7,0.00010740133
2006,8,9.1638976e-05
2006,9,7.605497e-05
2006,10,3.7582846e-05
2006,11,2.8974224e-05
2006,12,1.817383e-05
2007,1,1.050363e-05
2007,2,7.069667e-06
2007,3,4.5302363e-06
2007,4,1.8684155e-05
2007,5,1.1693508e-05
2007,6,2.8024435e-05
2007,7,0.00010814427
2007,8,9.5361895e-05
2007,9,6.641291e-05
2007,10,5.4802458e-05
2007,11,1.9338466e-05
2007,12,1.2951832e-05
2008,1,8.651046e-06
2008,2,1.465617e-05
2008,3,7.1219806e-06
2008,4,1.4835568e-05
2008,5,1.47415385e-05
2008,6,4.8260998e-05
2008,7,0.00010300251
2008,8,8.892701e-05
2008,9,6.833695e-05
2008,10,4.322693e-05
2008,11,5.4747503e-05
2008,12,1.4648526e-05
2009,1,2.5400861e-06
2009,2,1.8807544e-06
2009,3,5.9649024e-06
2009,4,5.7395223e-06
2009,5,1.299002e-05
2009,6,5.117278e-05
2009,7,8.596958e-05
2009,8,0.000115160954
2009,9,7.161652e-05
2009,10,5.0693754e-05
2009,11,1.7790991e-05
2009,12,9.450312e-06
2010,1,3.600813e-06
2010,2,2.4778428e-06
2010,3,4.763623e-06
2010,4,8.58808e-06
2010,5,1.2878492e-05
2010,6,6.846104e-05
2010,7,9.218552e-05
2010,8,8.797891e-05
2010,9,0.00010032565
2010,10,4.3231707e-05
2010,11,3.9602826e-05
2010,12,1.5929472e-05
2011,1,5.2188234e-06
2011,2,4.548969e-06
2011,3,2.5626223e-06
2011,4,1.1247506e-05
2011,5,2.3581193e-05
2011,6,7.195349e-05
2011,7,8.2182865e-05
2011,8,0.000118325515
2011,9,5.7413505e-05
2011,10,4.1410458e-05
2011,11,3.076315e-05
2011,12,2.4021012e-05
2012,1,3.7055527e-06
2012,2,3.7903997e-06
2012,3,2.5970394e-06
2012,4,1.6723972e-06
2012,5,9.77445e-06
2012,6,4.5294397e-05
2012,7,4.0827155e-05
2012,8,0.00010125013
2012,9,6.764719e-05
2012,10,6.215308e-05
2012,11,3.4729957e-05
2012,12,1.22163e-05
2013,1,8.285026e-06
2013,2,1.5332977e-06
2013,3,2.5656248e-06
2013,4,3.928787e-06
2013,5,3.0302082e-05
