year,month,pr_mm_per_day
1995,1,4.7911634
1995,2,4.967898
1995,3,4.4613442
1995,4,4.561276
1995,5,5.888088
1995,6,5.263744
1995,7,4.268562
1995,8,3.7818
1995,9,3.7743328
1995,10,4.6215987
1995,11,4.772052
1995,12,5.107788
1996,1,5.958908
1996,2,4.7298956
1996,3,5.889362
1996,4,5.3448544
1996,5,5.1760106
1996,6,4.662166
1996,7,3.4971437
1996,8,3.6551461
1996,9,3.686959
1996,10,3.8970132
1996,11,4.6949887
1996,12,5.195695
1997,1,4.5850053
1997,2,5.1852407
1997,3,4.8078895
1997,4,4.105917
1997,5,4.139324
1997,6,4.54812
1997,7,3.1628807
1997,8,3.4353473
1997,9,3.8053296
1997,10,3.9723115
1997,11,3.5553403
1997,12,4.3427095
1998,1,3.8922179
1998,2,3.594173
1998,3,4.371503
1998,4,4.8658705
1998,5,5.7664495
1998,6,4.155923
1998,7,4.004499
1998,8,4.012732
1998,9,4.0138803
1998,10,4.3322186
1998,11,5.7682595
1998,12,6.3497763
1999,1,5.7555413
1999,2,5.7413955
1999,3,6.0753326
1999,4,6.1576743
1999,5,5.3497133
1999,6,5.384726
1999,7,4.1680813
1999,8,3.471398
1999,9,4.0801306
1999,10,3.8568578
1999,11,5.3737955
1999,12,4.5202956
2000,1,4.5211997
2000,2,4.6633043
2000,3,5.0337358
2000,4,5.6592607
2000,5,6.2294307
2000,6,4.1509876
2000,7,3.4497764
2000,8,3.7050767
2000,9,4.093763
2000,10,4.2560897
2000,11,5.458531
2000,12,4.941085
2001,1,5.2197804
2001,2,5.0746875
2001,3,4.986991
2001,4,4.870123
2001,5,4.7721114
2001,6,4.0075374
2001,7,2.9151442
2001,8,3.5950768
2001,9,3.3583531
2001,10,4.2160177
2001,11,3.9858556
2001,12,4.548791
2002,1,3.8468266
2002,2,4.4629507
2002,3,3.350036
2002,4,4.5928583
2002,5,5.2670884
2002,6,4.6257577
2002,7,3.9139757
2002,8,3.2867665
2002,9,3.7606425
2002,10,4.582993
2002,11,5.5540237
2002,12,5.691492
2003,1,5.407157
2003,2,5.800142
2003,3,5.506715
2003,4,6.0976744
2003,5,5.8884106
2003,6,4.7935724
2003,7,4.096798
2003,8,3.7389276
2003,9,3.395256
2003,10,4.7618136
2003,11,4.5429325
2003,12,6.1134686
2004,1,5.2926545
2004,2,5.2546716
2004,3,4.6308475
2004,4,5.0239887
2004,5,4.7402496
2004,6,3.6608546
2004,7,3.6769876
2004,8,3.1842835
2004,9,3.0788853
2004,10,3.6230779
2004,11,4.0531735
2004,12,4.250096
2005,1,4.124468
2005,2,4.074754
2005,3,4.9332633
2005,4,4.5774646
2005,5,4.504937
2005,6,3.6448977
2005,7,3.5930037
2005,8,3.1289134
2005,9,3.3735306
2005,10,4.185819
2005,11,4.69304
2005,12,4.9785748
2006,1,4.725966
2006,2,3.5848916
2006,3,4.946755
2006,4,4.332028
2006,5,3.9982512
2006,6,4.2942343
2006,7,4.0072923
2006,8,3.9979374
2006,9,3.3153677
2006,10,4.3873796
2006,11,4.6933427
2006,12,5.3063416
2007,1,4.5628953
2007,2,4.6134353
2007,3,5.0110197
2007,4,5.953554
2007,5,4.8133426
2007,6,3.4599197
2007,7,3.023756
2007,8,3.5410578
2007,9,3.1539881
2007,10,3.8551116
2007,11,5.458057
2007,12,4.8049974
2008,1,5.1009455
2008,2,5.5797997
2008,3,5.173921
2008,4,5.1507387
2008,5,4.450387
2008,6,4.5431857
2008,7,3.4633377
2008,8,2.9732912
2008,9,3.661611
2008,10,4.2836947
2008,11,3.492612
2008,12,5.3401427
2009,1,5.1482124
2009,2,5.150707
2009,3,5.5629964
2009,4,4.4428267
2009,5,5.260336
2009,6,4.1273117
2009,7,3.8565934
2009,8,3.0922945
2009,9,3.677273
2009,10,4.3665175
2009,11,4.446692
2009,12,4.053744
2010,1,4.5363855
2010,2,4.0311747
2010,3,4.6932974
2010,4,5.019258
2010,5,5.127888
2010,6,4.9841337
2010,7,3.4897895
2010,8,4.09145
2010,9,3.610901
2010,10,3.939292
2010,11,5.052919
2010,12,5.5436974
2011,1,4.7965016
2011,2,5.14503
2011,3,6.037381
2011,4,5.497908
2011,5,4.6915874
2011,6,4.029706
2011,7,3.6163797
2011,8,3.7741408
2011,9,3.3118682
2011,10,3.8238385
2011,11,5.052984
2011,12,5.5702653
2012,1,4.4904666
2012,2,4.5768538
2012,3,4.916877
2012,4,5.580017
2012,5,5.065406
2012,6,4.8213673
2012,7,3.1901586
2012,8,3.406899
2012,9,3.7050455
2012,10,4.4726224
2012,11,5.4370513
2012,12,5.6109247
2013,1,4.8084965
2013,2,4.4609857
2013,3,5.0782213
2013,4,4.8807383
2013,5,5.301952
2013,6,4.751589
2013,7,3.2685552
2013,8,3.546148
2013,9,3.8266766
2013,10,3.536757
2013,11,4.549892
2013,12,5.5508447
2014,1,5.2365785
2014,2,4.9327655
2014,3,5.212424
2014,4,4.415948
2014,5,5.0078955
2014,6,4.8270183
2014,7,2.9415956
2014,8,3.5884297
2014,9,4.108492
2014,10,3.6332371
2014,11,5.8689194
2014,12,3.9985416
