year,month,total_mm
1995,1,148.52606
1995,2,139.10114
1995,3,138.30167
1995,4,136.83827
1995,5,182.53073
1995,6,157.91232
1995,7,132.32542
1995,8,117.2358
1995,9,113.22998
1995,10,143.26956
1995,11,143.16156
1995,12,158.34143
1996,1,184.72615
1996,2,132.43707
1996,3,182.57022
1996,4,160.34563
1996,5,160.45633
1996,6,139.86499
1996,7,108.41145
1996,8,113.30953
1996,9,110.60877
1996,10,120.80741
1996,11,140.84966
1996,12,161.06654
1997,1,142.13516
1997,2,145.18674
1997,3,149.04457
1997,4,123.17751
1997,5,128.31905
1997,6,136.4436
1997,7,98.0493
1997,8,106.495766
1997,9,114.15989
1997,10,123.141655
1997,11,106.66021
1997,12,134.624
1998,1,120.65875
1998,2,100.63684
1998,3,135.51659
1998,4,145.97612
1998,5,178.75993
1998,6,124.67769
1998,7,124.139465
1998,8,124.3947
1998,9,120.416405
1998,10,134.29878
1998,11,173.04779
1998,12,196.84306
1999,1,178.42178
1999,2,160.75908
1999,3,188.33531
1999,4,184.73022
1999,5,165.84111
1999,6,161.54178
1999,7,129.21053
1999,8,107.61334
1999,9,122.403915
1999,10,119.56259
1999,11,161.21387
1999,12,140.12917
2000,1,140.1572
2000,2,130.57253
2000,3,156.0458
2000,4,169.77782
2000,5,193.11235
2000,6,124.529625
2000,7,106.94307
2000,8,114.857376
2000,9,122.81289
2000,10,131.93878
2000,11,163.75592
2000,12,153.17363
2001,1,161.81319
2001,2,142.09125
2001,3,154.59673
2001,4,146.10368
2001,5,147.93546
2001,6,120.22612
2001,7,90.36947
2001,8,111.44738
2001,9,100.750595
2001,10,130.69655
2001,11,119.57567
2001,12,141.01251
2002,1,119.251625
2002,2,124.96262
2002,3,103.85111
2002,4,137.78575
2002,5,163.27974
2002,6,138.77274
2002,7,121.333244
2002,8,101.88976
2002,9,112.819275
2002,10,142.07278
2002,11,166.62071
2002,12,176.43625
2003,1,167.62187
2003,2,162.40398
2003,3,170.70816
2003,4,182.93024
2003,5,182.54073
2003,6,143.80717
2003,7,127.00074
2003,8,115.90675
2003,9,101.85768
2003,10,147.61623
2003,11,136.28798
2003,12,189.51753
2004,1,164.0723
2004,2,147.1308
2004,3,143.55627
2004,4,150.71967
2004,5,146.94774
2004,6,109.82564
2004,7,113.98662
2004,8,98.71279
2004,9,92.36656
2004,10,112.315414
2004,11,121.5952
2004,12,131.75298
2005,1,127.858505
2005,2,114.093124
2005,3,152.93117
2005,4,137.32394
2005,5,139.65305
2005,6,109.34693
2005,7,111.38312
2005,8,96.996315
2005,9,101.20592
2005,10,129.76039
2005,11,140.7912
2005,12,154.33582
2006,1,146.50494
2006,2,100.37696
2006,3,153.3494
2006,4,129.96083
2006,5,123.945786
2006,6,128.82703
2006,7,124.22607
2006,8,123.93606
2006,9,99.46103
2006,10,136.00877
2006,11,140.80028
2006,12,164.4966
2007,1,141.44975
2007,2,129.1762
2007,3,155.34161
2007,4,178.60663
2007,5,149.21362
2007,6,103.79759
2007,7,93.736435
2007,8,109.77279
2007,9,94.619644
2007,10,119.50846
2007,11,163.74171
2007,12,148.95493
2008,1,158.1293
2008,2,156.23439
2008,3,160.39156
2008,4,154.52216
2008,5,137.96199
2008,6,136.29558
2008,7,107.363464
2008,8,92.17203
2008,9,109.848335
2008,10,132.79454
2008,11,104.77836
2008,12,165.54442
2009,1,159.59459
2009,2,144.21979
2009,3,172.45288
2009,4,133.2848
2009,5,163.07042
2009,6,123.81935
2009,7,119.5544
2009,8,95.86113
2009,9,110.31819
2009,10,135.36205
2009,11,133.40076
2009,12,125.66606
2010,1,140.62794
2010,2,112.872894
2010,3,145.49222
2010,4,150.57774
2010,5,158.96454
2010,6,149.52402
2010,7,108.18347
2010,8,126.83496
2010,9,108.327034
2010,10,122.11805
2010,11,151.58757
2010,12,171.85461
2011,1,148.69154
2011,2,144.06084
2011,3,187.15881
2011,4,164.93724
2011,5,145.43921
2011,6,120.891174
2011,7,112.10777
2011,8,116.99837
2011,9,99.35605
2011,10,118.538994
2011,11,151.58952
2011,12,172.67822
2012,1,139.20447
2012,2,128.1519
2012,3,152.42319
2012,4,167.40051
2012,5,157.02759
2012,6,144.64102
2012,7,98.89492
2012,8,105.61387
2012,9,111.15137
2012,10,138.65129
2012,11,163.11154
2012,12,173.93866
2013,1,149.06339
2013,2,124.9076
2013,3,157.42487
2013,4,146.42215
2013,5,164.3605
2013,6,142.54767
2013,7,101.32521
2013,8,109.93059
2013,9,114.8003
2013,10,109.639465
2013,11,136.49677
2013,12,172.07619
2014,1,162.33394
2014,2,138.11743
2014,3,161.58514
2014,4,132.47844
2014,5,155.24477
2014,6,144.81055
2014,7,91.18946
2014,8,111.24132
2014,9,123.25476
2014,10,112.63035
2014,11,176.06758
2014,12,123.95479
