year,month,pr_mm_per_day_wet
1995,1,4.7911634
1995,2,4.967898
1995,3,4.4613442
1995,4,4.561816
1995,5,5.8885407
1995,6,5.2666006
1995,7,4.313611
1995,8,3.824907
1995,9,3.8009336
1995,10,4.6218314
1995,11,4.772052
1995,12,5.107788
1996,1,5.958908
1996,2,4.7298956
1996,3,5.8909755
1996,4,5.3448544
1996,5,5.191659
1996,6,4.667967
1996,7,3.5121813
1996,8,3.668704
1996,9,3.6906283
1996,10,3.897154
1996,11,4.6949887
1996,12,5.195695
1997,1,4.5850053
1997,2,5.1852407
1997,3,4.8078895
1997,4,4.10603
1997,5,4.139324
1997,6,4.5711503
1997,7,3.1723468
1997,8,3.4479852
1997,9,3.811477
1997,10,3.9723115
1997,11,3.5553403
1997,12,4.3427095
1998,1,3.8922179
1998,2,3.594173
1998,3,4.371616
1998,4,4.8658705
1998,5,5.7668
1998,6,4.272142
1998,7,4.032793
1998,8,4.0832934
1998,9,4.034579
1998,10,4.335203
1998,11,5.7682595
1998,12,6.349988
1999,1,5.7555413
1999,2,5.7413955
1999,3,6.075622
1999,4,6.1576743
1999,5,5.353539
1999,6,5.3911605
1999,7,4.182078
1999,8,3.5108533
1999,9,4.0908546
1999,10,3.8592012
1999,11,5.3737955
1999,12,4.5202956
2000,1,4.5211997
2000,2,4.6633043
2000,3,5.0337358
2000,4,5.6592607
2000,5,6.2316365
2000,6,4.165455
2000,7,3.4786
2000,8,3.7373834
2000,9,4.115437
2000,10,4.257316
2000,11,5.458531
2000,12,4.941085
2001,1,5.2197804
2001,2,5.074903
2001,3,4.986991
2001,4,4.873241
2001,5,4.7721114
2001,6,4.0502725
2001,7,2.9222994
2001,8,3.600261
2001,9,3.3627167
2001,10,4.2161427
2001,11,3.9858556
2001,12,4.548791
2002,1,3.846887
2002,2,4.464228
2002,3,3.3520675
2002,4,4.5928583
2002,5,5.2670884
2002,6,4.6307178
2002,7,3.9418764
2002,8,3.3052437
2002,9,3.7682638
2002,10,4.583769
2002,11,5.5540237
2002,12,5.6916485
2003,1,5.407157
2003,2,5.800142
2003,3,5.506715
2003,4,6.0976744
2003,5,5.8915668
2003,6,4.837961
2003,7,4.106008
2003,8,3.7644994
2003,9,3.4096131
2003,10,4.763024
2003,11,4.5429325
2003,12,6.1134686
2004,1,5.2926545
2004,2,5.2546716
2004,3,4.6309476
2004,4,5.0239887
2004,5,4.7729225
2004,6,3.6697626
2004,7,3.7274492
2004,8,3.2122378
2004,9,3.090537
2004,10,3.6258097
2004,11,4.0531735
2004,12,4.250096
2005,1,4.127943
2005,2,4.0748987
2005,3,4.9332633
2005,4,4.5775843
2005,5,4.506568
2005,6,3.6660893
2005,7,3.61302
2005,8,3.1601658
2005,9,3.381335
2005,10,4.1858854
2005,11,4.69304
2005,12,4.9785748
2006,1,4.725966
2006,2,3.5851674
2006,3,4.946755
2006,4,4.332028
2006,5,4.0067186
2006,6,4.3301997
2006,7,4.050508
2006,8,4.043832
2006,9,3.3231287
2006,10,4.3878174
2006,11,4.6933427
2006,12,5.3063416
2007,1,4.5628953
2007,2,4.6134353
2007,3,5.012443
2007,4,5.953554
2007,5,4.813438
2007,6,3.4663472
2007,7,3.0365624
2007,8,3.583526
2007,9,3.1974401
2007,10,3.857295
2007,11,5.458057
2007,12,4.8049974
2008,1,5.1009455
2008,2,5.5797997
2008,3,5.173921
2008,4,5.154963
2008,5,4.4793634
2008,6,4.5871716
2008,7,3.4942498
2008,8,3.0324945
2008,9,3.6865237
2008,10,4.285336
2008,11,3.492612
2008,12,5.3401427
2009,1,5.1482124
2009,2,5.150707
2009,3,5.5631456
2009,4,4.4428267
2009,5,5.2620463
2009,6,4.1503854
2009,7,3.8676853
2009,8,3.1122863
2009,9,3.680895
2009,10,4.3684583
2009,11,4.446692
2009,12,4.053744
2010,1,4.5363855
2010,2,4.031884
2010,3,4.6934943
2010,4,5.0193467
2010,5,5.13791
2010,6,5.007457
2010,7,3.5117443
2010,8,4.1586065
2010,9,3.6345656
2010,10,3.940023
2010,11,5.052919
2010,12,5.5436974
2011,1,4.7965016
2011,2,5.14503
2011,3,6.037381
2011,4,5.497908
2011,5,4.6916943
2011,6,4.0337367
2011,7,3.6582503
2011,8,3.8041215
2011,9,3.3441722
2011,10,3.8275144
2011,11,5.052984
2011,12,5.5702653
2012,1,4.4904666
2012,2,4.5768538
2012,3,4.917891
2012,4,5.5801525
2012,5,5.066291
2012,6,4.858855
2012,7,3.2149923
2012,8,3.4212112
2012,9,3.7129593
2012,10,4.4731646
2012,11,5.4370513
2012,12,5.6109247
2013,1,4.8085775
2013,2,4.461363
2013,3,5.0782213
2013,4,4.880829
2013,5,5.303712
2013,6,4.759398
2013,7,3.2899382
2013,8,3.5554194
2013,9,3.8397043
2013,10,3.5380614
2013,11,4.549892
2013,12,5.5508447
2014,1,5.2365785
2014,2,4.933377
2014,3,5.212424
2014,4,4.415948
2014,5,5.0087733
2014,6,4.8348866
2014,7,2.9540272
2014,8,3.6172519
2014,9,4.1194715
2014,10,3.6336558
2014,11,5.8689194
2014,12,3.9985416
