year,month,pr
1995,1,0.000101211284
1995,2,0.00010728506
1995,3,0.00010528443
1995,4,6.8784146e-05
1995,5,6.887143e-05
1995,6,3.610574e-05
1995,7,1.37961315e-05
1995,8,1.4367843e-05
1995,9,8.119641e-06
1995,10,1.4400442e-05
1995,11,7.2230396e-05
1995,12,0.000108714026
1996,1,9.939494e-05
1996,2,9.668335e-05
1996,3,0.00010392876
1996,4,9.445838e-05
1996,5,7.492332e-05
1996,6,4.966865e-05
1996,7,1.9683968e-05
1996,8,1.4520148e-05
1996,9,1.0856526e-05
1996,10,1.5942076e-05
1996,11,4.6014025e-05
1996,12,8.620314e-05
1997,1,9.387757e-05
1997,2,0.00010892457
1997,3,0.000104010476
1997,4,8.096181e-05
1997,5,6.518357e-05
1997,6,4.127412e-05
1997,7,2.0730518e-05
1997,8,9.07078e-06
1997,9,9.102356e-06
1997,10,2.5058289e-05
1997,11,6.9410446e-05
1997,12,8.364189e-05
1998,1,0.0001032222
1998,2,8.436689e-05
1998,3,9.787056e-05
1998,4,7.080328e-05
1998,5,6.023193e-05
1998,6,4.0826402e-05
1998,7,1.6664766e-05
1998,8,8.698303e-06
1998,9,6.1817195e-06
1998,10,1.0218474e-05
1998,11,3.5719902e-05
1998,12,7.449233e-05
1999,1,8.811138e-05
1999,2,0.00010984776
1999,3,9.562916e-05
1999,4,9.0379726e-05
1999,5,7.2128496e-05
1999,6,3.8457645e-05
1999,7,1.5962294e-05
1999,8,1.01857395e-05
1999,9,9.607678e-06
1999,10,9.289456e-06
1999,11,5.3987438e-05
1999,12,7.045402e-05
2000,1,8.055598e-05
2000,2,9.874716e-05
2000,3,8.0128484e-05
2000,4,7.505583e-05
2000,5,5.3650692e-05
2000,6,3.5094006e-05
2000,7,1.6965812e-05
2000,8,6.150338e-06
2000,9,3.8083876e-06
2000,10,1.2470844e-05
2000,11,4.4929944e-05
2000,12,8.033893e-05
2001,1,0.000103944425
2001,2,0.00010802029
2001,3,0.00010880072
2001,4,7.316468e-05
2001,5,6.2694184e-05
2001,6,3.7765836e-05
2001,7,1.5447911e-05
2001,8,7.2005864e-06
2001,9,4.353266e-06
2001,10,1.29815835e-05
2001,11,3.403867e-05
2001,12,6.9407426e-05
2002,1,0.000109046094
2002,2,0.00010494853
2002,3,9.538288e-05
2002,4,8.192407e-05
2002,5,5.8309244e-05
2002,6,3.485114e-05
2002,7,1.7015907e-05
2002,8,8.948778e-06
2002,9,1.037341e-05
2002,10,2.5471683e-05
2002,11,6.69198e-05
2002,12,8.7247514e-05
2003,1,9.517979e-05
2003,2,0.00011818828
2003,3,9.44838e-05
2003,4,8.8441775e-05
2003,5,6.892702e-05
2003,6,3.5244306e-05
2003,7,1.5007585e-05
2003,8,9.029461e-06
2003,9,8.216571e-06
2003,10,1.4041095e-05
2003,11,3.2294934e-05
2003,12,8.94879e-05
2004,1,9.545146e-05
2004,2,9.168559e-05
2004,3,8.313814e-05
2004,4,7.339892e-05
2004,5,6.488348e-05
2004,6,3.3933673e-05
2004,7,1.8244198e-05
2004,8,8.048287e-06
2004,9,7.195368e-06
2004,10,2.0733558e-05
2004,11,5.75706e-05
2004,12,0.000102700964
2005,1,0.00011649709
2005,2,0.00011512394
2005,3,9.844287e-05
2005,4,8.473792e-05
2005,5,7.1417184e-05
2005,6,3.7536855e-05
2005,7,2.2302956e-05
2005,8,8.61993e-06
2005,9,4.457205e-06
2005,10,1.25716115e-05
2005,11,4.6015957e-05
2005,12,9.1791226e-05
2006,1,8.6978616e-05
2006,2,0.000119163145
2006,3,0.000106190935
2006,4,9.2036746e-05
2006,5,7.185721e-05
2006,6,4.5023273e-05
2006,7,1.765181e-05
2006,8,1.0088082e-05
2006,9,7.833042e-06
2006,10,2.3760367e-05
2006,11,5.3345433e-05
2006,12,9.0772504e-05
2007,1,9.963732e-05
2007,2,0.000117914155
2007,3,0.00011439969
2007,4,9.0185225e-05
2007,5,9.2176786e-05
2007,6,5.190432e-05
2007,7,2.4353396e-05
2007,8,1.5192797e-05
2007,9,9.392603e-06
2007,10,2.705652e-05
2007,11,5.7830654e-05
2007,12,9.912313e-05
2008,1,0.00010055431
2008,2,0.00011093079
2008,3,9.344437e-05
2008,4,9.013077e-05
2008,5,7.11385e-05
2008,6,3.462514e-05
2008,7,1.4933454e-05
2008,8,9.078811e-06
2008,9,4.0737295e-06
2008,10,3.468662e-05
2008,11,3.3755125e-05
2008,12,9.3831135e-05
2009,1,9.560326e-05
2009,2,0.00011467556
2009,3,9.961721e-05
2009,4,8.565177e-05
2009,5,6.637428e-05
2009,6,3.57039e-05
2009,7,1.8776165e-05
2009,8,5.8703e-06
2009,9,6.8950912e-06
2009,10,1.2270894e-05
2009,11,4.7718375e-05
2009,12,9.594919e-05
2010,1,9.3325834e-05
2010,2,8.905011e-05
2010,3,7.6933175e-05
2010,4,8.007065e-05
2010,5,5.8059108e-05
2010,6,4.552931e-05
2010,7,1.8352355e-05
2010,8,7.667145e-06
2010,9,5.0051626e-06
2010,10,1.991943e-05
2010,11,6.112473e-05
2010,12,0.00010291358
2011,1,9.5495125e-05
2011,2,9.312641e-05
2011,3,0.00010321665
2011,4,8.859443e-05
2011,5,7.749526e-05
2011,6,4.4793054e-05
2011,7,1.9384906e-05
2011,8,9.956823e-06
2011,9,9.287488e-06
2011,10,1.3875646e-05
2011,11,4.863042e-05
2011,12,0.00010595431
2012,1,9.556017e-05
2012,2,0.00010413251
2012,3,8.642209e-05
2012,4,7.4027805e-05
2012,5,6.270416e-05
2012,6,3.4924175e-05
2012,7,1.621633e-05
2012,8,8.516241e-06
2012,9,3.8163685e-06
2012,10,4.8290635e-06
2012,11,2.222535e-05
2012,12,7.9368925e-05
2013,1,8.371721e-05
2013,2,8.992801e-05
2013,3,9.634493e-05
2013,4,8.316318e-05
2013,5,7.787451e-05
2013,6,4.3044216e-05
2013,7,2.1092965e-05
2013,8,1.1945641e-05
2013,9,6.725813e-06
2013,10,1.7016233e-05
2013,11,7.6112294e-05
2013,12,0.000118010066
2014,1,0.00012815728
2014,2,0.0001271073
2014,3,0.000114756665
2014,4,9.212692e-05
2014,5,6.2079656e-05
2014,6,4.7260037e-05
2014,7,2.1373558e-05
2014,8,1.2797633e-05
2014,9,8.931752e-06
2014,10,2.004186e-05
2014,11,6.493671e-05
2014,12,0.00010217332
