year,month,pr_mm_per_day
1995,1,2.7067795
1995,2,2.5691593
1995,3,2.6162388
1995,4,2.6343062
1995,5,2.7651684
1995,6,3.078065
1995,7,2.4757094
1995,8,2.2751005
1995,9,2.1736226
1995,10,1.5514423
1995,11,1.8375598
1995,12,2.1582892
1996,1,2.1670778
1996,2,2.6238549
1996,3,2.7244794
1996,4,2.9338777
1996,5,2.5208964
1996,6,2.3041112
1996,7,2.37616
1996,8,2.3633409
1996,9,1.7132957
1996,10,1.6146284
1996,11,1.7732277
1996,12,2.3937914
1997,1,2.4535031
1997,2,2.541342
1997,3,2.6703384
1997,4,2.8345504
1997,5,2.6754072
1997,6,2.456765
1997,7,2.5766659
1997,8,1.951046
1997,9,1.7179017
1997,10,2.1625726
1997,11,2.7182775
1997,12,2.571556
1998,1,2.5642276
1998,2,2.6408145
1998,3,2.9167268
1998,4,3.0426912
1998,5,3.0175426
1998,6,3.7031684
1998,7,2.4588401
1998,8,2.8634126
1998,9,2.2588432
1998,10,2.4804251
1998,11,2.1426508
1998,12,2.0536125
1999,1,2.356909
1999,2,2.266075
1999,3,1.8981608
1999,4,2.401239
1999,5,2.873603
1999,6,2.507194
1999,7,2.5559182
1999,8,2.4585307
1999,9,2.2090795
1999,10,1.955288
1999,11,1.5744746
1999,12,1.8737552
2000,1,2.148747
2000,2,2.1899135
2000,3,2.3468115
2000,4,2.5271316
2000,5,2.707364
2000,6,2.7994168
2000,7,2.2501984
2000,8,2.2479568
2000,9,1.9624225
2000,10,1.8228632
2000,11,1.6122512
2000,12,2.2298145
2001,1,2.5001984
2001,2,2.3351893
2001,3,2.3162842
2001,4,2.8409057
2001,5,2.6539054
2001,6,2.4017775
2001,7,2.2218266
2001,8,2.0586042
2001,9,2.1009457
2001,10,2.1820226
2001,11,2.662995
2001,12,2.7693667
2002,1,3.1342587
2002,2,2.4637113
2002,3,2.950173
2002,4,2.3420944
2002,5,2.7147412
2002,6,2.5489414
2002,7,2.3977754
2002,8,2.5195487
2002,9,2.18692
2002,10,2.1359475
2002,11,2.3571258
2002,12,2.5090568
2003,1,2.5249283
2003,2,2.572701
2003,3,2.3620038
2003,4,2.5689404
2003,5,2.730116
2003,6,2.4542165
2003,7,2.4532015
2003,8,2.3963223
2003,9,2.088634
2003,10,1.8637506
2003,11,1.8870589
2003,12,1.8947023
2004,1,2.382341
2004,2,2.1518188
2004,3,2.6385674
2004,4,2.4419343
2004,5,2.994372
2004,6,2.4012983
2004,7,2.245171
2004,8,2.539022
2004,9,2.0921252
2004,10,1.680152
2004,11,2.5149038
2004,12,2.6258616
2005,1,2.513744
2005,2,2.8026328
2005,3,2.7014897
2005,4,3.0527043
2005,5,3.0092723
2005,6,2.4936996
2005,7,2.5480707
2005,8,2.3677163
2005,9,2.0066526
2005,10,2.294399
2005,11,2.8092232
2005,12,3.0403173
2006,1,2.7431202
2006,2,2.8550339
2006,3,2.5915093
2006,4,3.242039
2006,5,2.8006377
2006,6,2.9943383
2006,7,2.4329858
2006,8,2.2791612
2006,9,1.7839162
2006,10,2.0985205
2006,11,2.1270134
2006,12,2.5660298
2007,1,2.4870343
2007,2,2.5411775
2007,3,2.1983755
2007,4,2.663539
2007,5,3.008501
2007,6,2.7482026
2007,7,2.7851632
2007,8,2.5805266
2007,9,2.6270692
2007,10,1.7799487
2007,11,2.0689392
2007,12,2.3843894
2008,1,2.2596676
2008,2,2.8132918
2008,3,2.511484
2008,4,2.8548505
2008,5,2.9315817
2008,6,2.2043498
2008,7,2.9830925
2008,8,2.3072865
2008,9,2.0236063
2008,10,1.839572
2008,11,2.1019793
2008,12,2.3233902
2009,1,2.5756686
2009,2,2.6346824
2009,3,2.792033
2009,4,3.010109
2009,5,2.6547713
2009,6,2.814184
2009,7,2.1945293
2009,8,2.4050708
2009,9,1.8112016
2009,10,2.878961
2009,11,2.6691658
2009,12,2.5160863
2010,1,2.6917133
2010,2,2.3182025
2010,3,2.5809412
2010,4,2.581732
2010,5,2.811463
2010,6,2.1979392
2010,7,2.3734343
2010,8,2.4104447
2010,9,1.8761746
2010,10,1.772269
2010,11,2.081017
2010,12,2.58843
2011,1,2.487749
2011,2,2.5764387
2011,3,2.738665
2011,4,2.8067675
2011,5,3.1002553
2011,6,2.82371
2011,7,2.6113446
2011,8,2.3916416
2011,9,2.2813673
2011,10,1.9757073
2011,11,2.2160554
2011,12,2.5664134
2012,1,2.5019033
2012,2,2.5770419
2012,3,2.3653893
2012,4,2.7876306
2012,5,2.9825659
2012,6,2.4598188
2012,7,2.221146
2012,8,2.382052
2012,9,2.0639184
2012,10,1.9783654
2012,11,2.0061462
2012,12,2.095122
2013,1,2.4962935
2013,2,2.4264827
2013,3,2.4115887
2013,4,2.4367983
2013,5,2.8119295
2013,6,3.1395013
2013,7,2.4693441
2013,8,2.2090075
2013,9,2.0707548
2013,10,1.9586937
2013,11,2.4805868
2013,12,2.549758
2014,1,2.3732932
2014,2,2.3640997
2014,3,2.5083938
2014,4,2.4735389
2014,5,2.5580354
2014,6,2.227297
2014,7,2.5472777
2014,8,2.4075937
2014,9,2.028566
2014,10,2.2454238
2014,11,1.9917434
2014,12,2.2361228
