year,month,total_mm
1995,1,83.910164
1995,2,71.93646
1995,3,81.1034
1995,4,79.02918
1995,5,85.72022
1995,6,92.34195
1995,7,76.746994
1995,8,70.528114
1995,9,65.20868
1995,10,48.09471
1995,11,55.126793
1995,12,66.90697
1996,1,67.17941
1996,2,73.46793
1996,3,84.45886
1996,4,88.016335
1996,5,78.14779
1996,6,69.12334
1996,7,73.66096
1996,8,73.263565
1996,9,51.398872
1996,10,50.053482
1996,11,53.19683
1996,12,74.207535
1997,1,76.05859
1997,2,71.15758
1997,3,82.78049
1997,4,85.036514
1997,5,82.93762
1997,6,73.70295
1997,7,79.87664
1997,8,60.482426
1997,9,51.537052
1997,10,67.03975
1997,11,81.548325
1997,12,79.71824
1998,1,79.49106
1998,2,73.94281
1998,3,90.41853
1998,4,91.28074
1998,5,93.54382
1998,6,111.095055
1998,7,76.224045
1998,8,88.76579
1998,9,67.7653
1998,10,76.89318
1998,11,64.279526
1998,12,63.661987
1999,1,73.06418
1999,2,63.450096
1999,3,58.842987
1999,4,72.03717
1999,5,89.081696
1999,6,75.21582
1999,7,79.23347
1999,8,76.21445
1999,9,66.272385
1999,10,60.61393
1999,11,47.234238
1999,12,58.08641
2000,1,66.61115
2000,2,61.31758
2000,3,72.75116
2000,4,75.81395
2000,5,83.92828
2000,6,83.982506
2000,7,69.75615
2000,8,69.68666
2000,9,58.872673
2000,10,56.50876
2000,11,48.367535
2000,12,69.12425
2001,1,77.50615
2001,2,65.3853
2001,3,71.80481
2001,4,85.22717
2001,5,82.271065
2001,6,72.05332
2001,7,68.876625
2001,8,63.816734
2001,9,63.02837
2001,10,67.6427
2001,11,79.889854
2001,12,85.85037
2002,1,97.16202
2002,2,68.98392
2002,3,91.45536
2002,4,70.26283
2002,5,84.156975
2002,6,76.46824
2002,7,74.33104
2002,8,78.10601
2002,9,65.6076
2002,10,66.21437
2002,11,70.713776
2002,12,77.78076
2003,1,78.27278
2003,2,72.03563
2003,3,73.222115
2003,4,77.068214
2003,5,84.63359
2003,6,73.626495
2003,7,76.04925
2003,8,74.28599
2003,9,62.65902
2003,10,57.776268
2003,11,56.611767
2003,12,58.73577
2004,1,73.85257
2004,2,60.250923
2004,3,81.79559
2004,4,73.25803
2004,5,92.82553
2004,6,72.03895
2004,7,69.6003
2004,8,78.70968
2004,9,62.763756
2004,10,52.084713
2004,11,75.44711
2004,12,81.40171
2005,1,77.92607
2005,2,78.47372
2005,3,83.74618
2005,4,91.58113
2005,5,93.287445
2005,6,74.81099
2005,7,78.99019
2005,8,73.39921
2005,9,60.19958
2005,10,71.12637
2005,11,84.276695
2005,12,94.24984
2006,1,85.03673
2006,2,79.94095
2006,3,80.33679
2006,4,97.26117
2006,5,86.81977
2006,6,89.83015
2006,7,75.42256
2006,8,70.654
2006,9,53.517487
2006,10,65.05414
2006,11,63.810402
2006,12,79.54692
2007,1,77.09806
2007,2,71.15297
2007,3,68.14964
2007,4,79.906166
2007,5,93.263535
2007,6,82.446075
2007,7,86.34006
2007,8,79.99632
2007,9,78.81208
2007,10,55.17841
2007,11,62.068176
2007,12,73.91607
2008,1,70.0497
2008,2,78.77217
2008,3,77.856
2008,4,85.645515
2008,5,90.879036
2008,6,66.13049
2008,7,92.47587
2008,8,71.52588
2008,9,60.70819
2008,10,57.02673
2008,11,63.05938
2008,12,72.0251
2009,1,79.845726
2009,2,73.77111
2009,3,86.553024
2009,4,90.30327
2009,5,82.29791
2009,6,84.42552
2009,7,68.03041
2009,8,74.5572
2009,9,54.33605
2009,10,89.247795
2009,11,80.074974
2009,12,77.99868
2010,1,83.443115
2010,2,64.90967
2010,3,80.00918
2010,4,77.45196
2010,5,87.15536
2010,6,65.93817
2010,7,73.57646
2010,8,74.723785
2010,9,56.285236
2010,10,54.94034
2010,11,62.43051
2010,12,80.241325
2011,1,77.120224
2011,2,72.14028
2011,3,84.89862
2011,4,84.203026
2011,5,96.10791
2011,6,84.711296
2011,7,80.95168
2011,8,74.14089
2011,9,68.44102
2011,10,61.246925
2011,11,66.48166
2011,12,79.558815
2012,1,77.559006
2012,2,72.15717
2012,3,73.32707
2012,4,83.628914
2012,5,92.45954
2012,6,73.79456
2012,7,68.85553
2012,8,73.84361
2012,9,61.917553
2012,10,61.329327
2012,11,60.184383
2012,12,64.948784
2013,1,77.3851
2013,2,67.94151
2013,3,74.75925
2013,4,73.10395
2013,5,87.169815
2013,6,94.18504
2013,7,76.54967
2013,8,68.47923
2013,9,62.122646
2013,10,60.719505
2013,11,74.4176
2013,12,79.042496
2014,1,73.57209
2014,2,66.19479
2014,3,77.76021
2014,4,74.20617
2014,5,79.299095
2014,6,66.81891
2014,7,78.96561
2014,8,74.63541
2014,9,60.85698
2014,10,69.60814
2014,11,59.752304
2014,12,69.31981
