year,month,pr_mm_per_day_wet
1995,1,0.07757403
1995,2,0.25598383
1995,3,0.5530502
1995,4,0.9388294
1995,5,2.386661
1995,6,5.538859
1995,7,7.280695
1995,8,6.9399548
1995,9,6.3125587
1995,10,2.4751513
1995,11,1.1086385
1995,12,0.9048945
1996,1,0.37657014
1996,2,0.3437636
1996,3,1.4334552
1996,4,1.8267869
1996,5,2.7503
1996,6,3.9719036
1996,7,7.2034254
1996,8,7.5002813
1996,9,4.649545
1996,10,3.3117707
1996,11,2.0115867
1996,12,0.804959
1997,1,0.4811894
1997,2,1.336167
1997,3,1.2299459
1997,4,1.9125384
1997,5,3.027335
1997,6,3.7860594
1997,7,7.5726438
1997,8,5.716627
1997,9,4.252844
1997,10,3.9773214
1997,11,1.5539896
1997,12,1.1243005
1998,1,0.2115736
1998,2,0.30685166
1998,3,0.61831456
1998,4,1.4589989
1998,5,2.6818006
1998,6,6.2852755
1998,7,7.038889
1998,8,10.112714
1998,9,6.1364875
1998,10,3.1855445
1998,11,0.891519
1998,12,0.184599
1999,1,0.03811095
1999,2,0.112461515
1999,3,0.22743414
1999,4,1.2103133
1999,5,3.8121731
1999,6,4.8952413
1999,7,8.251821
1999,8,8.568016
1999,9,7.0301924
1999,10,4.0376945
1999,11,1.1521043
1999,12,0.32429835
2000,1,0.033402737
2000,2,0.17339173
2000,3,0.62251014
2000,4,1.7635188
2000,5,3.1011002
2000,6,6.3927894
2000,7,7.496976
2000,8,7.612142
2000,9,5.7239003
2000,10,2.9723346
2000,11,1.823701
2000,12,0.8611575
2001,1,0.75328517
2001,2,0.48626682
2001,3,0.966891
2001,4,1.9161552
2001,5,3.695559
2001,6,4.3176126
2001,7,6.6663117
2001,8,6.2525187
2001,9,5.5312347
2001,10,3.277393
2001,11,1.9356562
2001,12,0.6445985
2002,1,0.57566506
2002,2,0.6563145
2002,3,0.46174338
2002,4,0.91457975
2002,5,3.043542
2002,6,2.5090215
2002,7,6.0331388
2002,8,9.232982
2002,9,5.7580433
2002,10,2.8937697
2002,11,1.4284307
2002,12,0.38658673
2003,1,0.05968183
2003,2,0.061999585
2003,3,0.39098012
2003,4,1.2165265
2003,5,2.5735586
2003,6,5.258519
2003,7,8.238232
2003,8,8.041067
2003,9,5.202968
2003,10,3.4991274
2003,11,1.0544055
2003,12,0.7031128
2004,1,0.39213088
2004,2,0.12684861
2004,3,1.1042161
2004,4,1.379567
2004,5,3.834621
2004,6,5.010219
2004,7,6.7170687
2004,8,8.220769
2004,9,5.68364
2004,10,2.192793
2004,11,1.446903
2004,12,0.74299073
2005,1,0.32631406
2005,2,0.1450222
2005,3,0.66132647
2005,4,1.5231107
2005,5,2.2222564
2005,6,6.0381927
2005,7,7.785773
2005,8,7.18665
2005,9,5.8335614
2005,10,3.4700933
2005,11,2.106788
2005,12,0.7357963
2006,1,0.153273
2006,2,0.3245671
2006,3,0.69735044
2006,4,1.8753403
2006,5,2.7123196
2006,6,7.662593
2006,7,7.2200594
2006,8,7.579446
2006,9,5.0302734
2006,10,3.0358567
2006,11,1.2560995
2006,12,0.23304085
2007,1,0.102259345
2007,2,0.08867564
2007,3,0.42594165
2007,4,1.3613305
2007,5,2.491678
2007,6,5.2069216
2007,7,10.247357
2007,8,8.9282675
2007,9,8.041415
2007,10,3.4538648
2007,11,1.2174737
2007,12,1.0142049
2008,1,0.35626844
2008,2,0.21806487
2008,3,1.5175842
2008,4,1.8671913
2008,5,3.618886
2008,6,4.4713254
2008,7,8.561016
2008,8,7.1575346
2008,9,6.0806684
2008,10,2.311048
2008,11,1.8847052
2008,12,0.3351419
2009,1,0.4179109
2009,2,0.551871
2009,3,1.0022898
2009,4,2.1227016
2009,5,3.330762
2009,6,7.1352453
2009,7,6.6422405
2009,8,7.16624
2009,9,5.063859
2009,10,3.9403493
2009,11,2.7541707
2009,12,0.27450606
2010,1,0.25554854
2010,2,0.2306633
2010,3,0.5512083
2010,4,2.5016458
2010,5,3.587847
2010,6,4.04376
2010,7,7.0563183
2010,8,7.3184133
2010,9,3.8506749
2010,10,2.5651126
2010,11,1.5412469
2010,12,0.84921527
2011,1,0.1962709
2011,2,0.095477335
2011,3,0.92916155
2011,4,1.7198024
2011,5,3.31599
2011,6,4.742045
2011,7,7.992725
2011,8,7.5567675
2011,9,7.035658
2011,10,3.9310935
2011,11,1.0383712
2011,12,0.52887726
2012,1,0.10485707
2012,2,0.40882292
2012,3,0.3943546
2012,4,1.8023833
2012,5,2.1294165
2012,6,4.108024
2012,7,5.9812036
2012,8,7.162403
2012,9,5.637579
2012,10,3.010813
2012,11,1.6961784
2012,12,0.49587056
2013,1,0.42487562
2013,2,0.3173931
2013,3,0.99650514
2013,4,2.1283553
2013,5,3.4751017
2013,6,6.74499
2013,7,6.4806376
2013,8,7.269338
2013,9,6.3984327
2013,10,4.0102754
2013,11,1.7031646
2013,12,0.286458
2014,1,0.07332029
2014,2,0.07866265
2014,3,0.67910624
2014,4,1.1276689
2014,5,1.4821509
2014,6,3.8192103
2014,7,8.253482
2014,8,7.9872713
2014,9,5.6914544
2014,10,3.4319124
2014,11,1.2991582
2014,12,0.6136224
