year,month,pr
1995,1,5.515506e-07
1995,2,1.5185018e-06
1995,3,6.8448426e-06
1995,4,1.7715425e-05
1995,5,2.7637861e-05
1995,6,6.479914e-05
1995,7,0.00010561424
1995,8,7.5590666e-05
1995,9,9.917653e-05
1995,10,5.7061934e-05
1995,11,2.6037965e-06
1995,12,4.7007976e-08
1996,1,3.0726885e-09
1996,2,3.5028847e-08
1996,3,4.856211e-06
1996,4,8.413145e-06
1996,5,2.033042e-05
1996,6,0.00010719107
1996,7,7.489549e-05
1996,8,9.225257e-05
1996,9,0.00010937425
1996,10,6.332244e-05
1996,11,1.57789e-05
1996,12,9.233773e-08
1997,1,4.9670006e-09
1997,2,1.7536532e-07
1997,3,1.2837785e-05
1997,4,2.29067e-05
1997,5,5.0342518e-05
1997,6,7.004812e-05
1997,7,9.2695744e-05
1997,8,0.00010095504
1997,9,9.167708e-05
1997,10,2.6764472e-05
1997,11,1.2457892e-05
1997,12,1.9352985e-08
1998,1,4.2922125e-08
1998,2,1.4669533e-06
1998,3,5.900597e-06
1998,4,1.6749238e-05
1998,5,2.7285241e-05
1998,6,0.00012479493
1998,7,8.5572974e-05
1998,8,0.00011410168
1998,9,7.909145e-05
1998,10,5.6367866e-05
1998,11,7.55909e-06
1998,12,6.9289166e-09
1999,1,1.4043837e-08
1999,2,5.3438976e-07
1999,3,3.74561e-06
1999,4,1.24265935e-05
1999,5,6.594743e-05
1999,6,6.187479e-05
1999,7,0.000120283534
1999,8,8.1539e-05
1999,9,8.885447e-05
1999,10,8.618226e-05
1999,11,1.4832177e-05
1999,12,1.0939405e-08
2000,1,7.848858e-11
2000,2,5.1802324e-08
2000,3,7.818871e-06
2000,4,8.932119e-06
2000,5,2.4329323e-05
2000,6,6.386202e-05
2000,7,0.00010261452
2000,8,6.675641e-05
2000,9,8.317728e-05
2000,10,3.638833e-05
2000,11,7.366806e-06
2000,12,1.9515333e-08
2001,1,7.9288654e-08
2001,2,2.8875655e-07
2001,3,5.2882365e-06
2001,4,1.1446323e-05
2001,5,2.2203421e-05
2001,6,8.787541e-05
2001,7,9.7568336e-05
2001,8,9.1317335e-05
2001,9,7.953988e-05
2001,10,5.9388633e-05
2001,11,1.1962782e-06
2001,12,2.5180062e-09
2002,1,1.8922965e-07
2002,2,5.5091306e-07
2002,3,5.0266603e-06
2002,4,1.1196554e-05
2002,5,5.8899852e-05
2002,6,3.9133698e-05
2002,7,9.427226e-05
2002,8,8.019068e-05
2002,9,5.330138e-05
2002,10,2.9552373e-05
2002,11,3.8874014e-06
2002,12,2.4050377e-07
2003,1,2.1338546e-07
2003,2,1.6966405e-06
2003,3,5.0732424e-06
2003,4,2.1164231e-05
2003,5,3.4704753e-05
2003,6,8.8583714e-05
2003,7,7.679536e-05
2003,8,7.5075935e-05
2003,9,6.607945e-05
2003,10,2.824264e-05
2003,11,4.4581143e-06
2003,12,2.289392e-09
2004,1,3.9151946e-08
2004,2,1.4950244e-06
2004,3,7.4683485e-06
2004,4,1.1341961e-05
2004,5,3.4474495e-05
